room,id,rssi,time
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-83.0,742084282.563215
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084282.680998
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742084283.195365
Office,0067B378-BF7C-100E-2241-B297B3C2ABBF,-89.0,742084283.308701
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-96.0,742084283.594892
Office,584E0854-B480-2B8F-47B3-6C5D118B94A6,-66.0,742084283.72475
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-81.0,742084283.843478
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-90.0,742084283.965428
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-80.0,742084283.97786
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084284.9067
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0,742084285.034609
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084285.285273
Office,95EA1C77-1360-BAB0-B672-F93D0FD034EA,-99.0,742084285.337962
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-81.0,742084285.740659
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-93.0,742084286.080026
Office,66015E8F-7230-1CC2-D958-45CB11E569F5,-94.0,742084286.450976
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084286.723848
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742084286.991502
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084287.10479
Office,D7B131A8-D6A1-43CD-8B9E-DC8E373D7871,-94.0,742084287.149503
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742084287.629999
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-83.0,742084287.803852
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084288.27606
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084288.28503
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-92.0,742084288.684051
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0,742084288.767583
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0,742084288.778787
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084289.105551
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084289.191505
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0,742084289.324358
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-84.0,742084289.418298
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084289.595989
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084289.603904
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-95.0,742084289.722088
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-94.0,742084289.731272
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-93.0,742084290.225772
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-89.0,742084290.5423
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-95.0,742084290.635736
Office,6F0C67B0-EE52-C6F1-2592-0AE4B3ED61B1,-46.0,742084290.8273
Office,A37C1D23-92BB-B847-8018-C22651E46D48,-45.0,742084290.850799
Office,6F0C67B0-EE52-C6F1-2592-0AE4B3ED61B1,-47.0,742084290.878391
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-93.0,742084290.947178
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0,742084291.818045
Office,69F3590A-4840-D062-DAAC-1CD33F99A8CF,-95.0,742084291.845282
Office,11FE69C7-7DD2-13AF-1493-7B63E92D5B0D,-43.0,742084291.899529
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-92.0,742084291.981501
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084292.540995
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742084292.629974
Office,69F3590A-4840-D062-DAAC-1CD33F99A8CF,-93.0,742084292.855139
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-89.0,742084293.194271
Office,F5B8633B-9087-58B4-B54B-4C32C6CA70A5,-96.0,742084293.381975
Office,B0EEB4AE-93A4-A7B1-B498-C21918CEBC9A,-95.0,742084293.429792
Office,3770FDE1-7D7D-B738-8C98-F36120C26D0B,-34.0,742084293.546466
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-94.0,742084293.553113
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-80.0,742084294.022431
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742084294.073949
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084294.216217
Office,0141A411-901A-1DF5-3AC0-F07A182F8B62,-96.0,742084294.246524
Office,11AF1752-6661-534B-508A-AB7DDE963178,-89.0,742084294.517297
Office,FE703264-6C94-062A-B9CE-CAA0CD23D0C8,-95.0,742084295.012348
Office,36777159-E36F-0125-00CF-4EB86A1993E2,-91.0,742084295.039129
Office,536F40FD-5FED-4C74-AADE-D7E60E644FBF,-93.0,742084295.097676
Office,AF8BA935-E3CC-8590-E4D8-7884C09FD19B,-93.0,742084295.11416
Office,3770FDE1-7D7D-B738-8C98-F36120C26D0B,-37.0,742084295.250376
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-87.0,742084295.329538
Office,40917BB3-5997-7B55-3735-EFA932B9222F,-98.0,742084295.33784
Office,5265BC8E-DA7B-AB85-F24E-6F58FC221E96,-95.0,742084295.373199
Office,A8E8CA4F-B73C-01D4-252C-57D7B306E41A,-95.0,742084295.409052
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-97.0,742084295.498481
Office,8C4124BE-FF12-241D-4D85-EF962872103A,-97.0,742084295.728224
