room,id,rssi
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0
Office,D447919B-3EB8-D738-3E08-368003CA4E57,-83.0
Office,91F49612-0B04-8734-990E-1CCADCBB1AF8,-61.0
Office,A765EF6B-4DA8-6363-4CE2-8470D5853458,-98.0
Office,457248A6-7C4F-FD9C-76AE-B5AA069FF391,-99.0
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-85.0
Office,3F3B187C-38B4-ACB0-4449-F0F1D9F93D8F,-50.0
Office,8FAEB052-9E7A-078A-C55A-84B24C67A580,-95.0
Office,8FAEB052-9E7A-078A-C55A-84B24C67A580,-95.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0
Office,26B7947C-D478-BF76-4904-73EF185C635E,-82.0
Office,A487EEB5-EFE8-41FD-C2E1-1681A93B91D4,-95.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0
Office,5FC188D7-C355-7223-15C5-5A06CD4D2DD0,-82.0
Office,D859AFB8-F386-1197-4083-2D864402DC07,-47.0
Office,C6ED9620-AD51-87B2-3861-8081C535820F,-96.0
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-86.0
Office,9585A0D0-1BDE-07A5-E45A-B6CB4272B422,-97.0
Office,7EDBDBC8-0A9D-5110-F776-D6E3D9B80915,-101.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0
Office,16F9DA0B-68C1-58AB-AFE0-9CBF4A70C1F5,-93.0
Office,7F7D1BEC-247A-D729-1FDA-D4D043F236E3,-63.0
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0
Office,737305C0-F91D-6C4E-179F-4A1EEDD12E5C,-68.0
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-82.0
Office,B678F16D-CF53-653C-9EFB-DAFB8EC4E47F,-90.0
