room,id,rssi,time,name
Office,96BD47D1-583B-5E12-CD2B-16072FBB9D8E,-89.0,742178662.395241,
Office,21882656-D8E8-798C-147D-A84E9F5B8726,-98.0,742178662.554768,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-87.0,742178662.577332,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742178662.60212,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742178662.875426,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742178663.033502,
Office,338696C7-7C2D-1B55-B0FA-8780E8B442DD,-93.0,742178663.083113,
Office,788D1FFA-F07C-810D-644A-9A2CB19B2467,-93.0,742178663.106138,N026N
Office,788D1FFA-F07C-810D-644A-9A2CB19B2467,-93.0,742178663.111797,N026N
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742178663.176335,
Office,C6B0837E-07FC-EBEC-CD61-51FF6D77468A,-99.0,742178663.212291,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-94.0,742178663.336392,
Office,64303B1C-8176-15D6-E44C-8C5F34BA7D2E,-63.0,742178663.395105,Brayden’s AirPods Max
Office,AE99C012-82CD-FEE2-1A6B-FD927CAF3256,-93.0,742178663.697512,S39 6450 LE
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742178663.778367,
Office,6F0C67B0-EE52-C6F1-2592-0AE4B3ED61B1,-67.0,742178664.00324,Brayden's MacBook Pro
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-91.0,742178664.018334,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742178664.088727,
Office,9C8C0906-E7D6-E36D-F51B-76A0E812EF9E,-65.0,742178664.127061,
Office,4C80808B-A809-FD3F-D16E-AD707CB7E414,-93.0,742178664.330758,
Office,4C80808B-A809-FD3F-D16E-AD707CB7E414,-93.0,742178664.338258,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742178664.377422,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742178664.386198,
Office,0141A411-901A-1DF5-3AC0-F07A182F8B62,-92.0,742178664.44108,
Office,6F0C67B0-EE52-C6F1-2592-0AE4B3ED61B1,-74.0,742178664.908809,Brayden's MacBook Pro
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-81.0,742178664.974714,
Office,95F06129-37DC-DC44-D9BD-DC14A2B9A821,-74.0,742178665.072,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-95.0,742178665.078727,Maliha’s Room
Office,1A2B6926-0AAC-A5FD-16F0-B987D3F52AC5,-98.0,742178665.201294,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-80.0,742178665.224091,
Office,96BD47D1-583B-5E12-CD2B-16072FBB9D8E,-81.0,742178665.254881,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742178665.275365,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-73.0,742178665.282775,
Office,27913493-AABC-3E3E-5026-9F74D345F820,-79.0,742178665.380293,
Office,D5ED2894-7D00-A90E-8050-5169A7BE254A,-96.0,742178665.540249,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-94.0,742178665.680643,Maliha’s Room
Office,D4443D6A-3A7A-0652-0966-1C33E172C67E,-88.0,742178665.801576,
Office,5D75486C-CD38-9F6D-11D4-FE4060A3DA84,-96.0,742178665.985101,LF005JC
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-86.0,742178666.054578,
Office,26B7947C-D478-BF76-4904-73EF185C635E,-54.0,742178666.111868,ZT224985000549F2793
